order,section_name,task_label,task_name,start_date,end_date,is_milestone,is_deliverable,done_by,notes
4,User 2,api_data_catalogue,API base structure for the data catalogue,after mvp_data_upload,8w,1,,rse,
4,User 2,backend_data_dictionary,Backend structure for storing the data dictionary,after api_data_catalogue,8w,1,,dba,
4,User 2,frontend_data_catalogue,Frontend UI for showing data catalogue,after backend_data_dictionary,8w,1,,rse,
4,User 2,mvp_data_catalogue,MVP of data catalogue,after frontend_data_catalogue,6w,,1,rse + dba,
4,User 2,api_data_request,API base structure for the data selection and request,after api_data_catalogue api_projects,12w,1,,rse,
4,User 2,backend_trigger_data_request_extraction,Backend software for extracting requested data,after api_data_request,12w,1,,rse + dba,
4,User 2,backend_trigger_data_request_transfer,Backend software for transferring data,after backend_trigger_data_request_extraction,16w,1,,rse + dba,
4,User 2,frontend_data_request,Frontend UI for selecting and requesting data,after backend_trigger_data_request_extraction,8w,1,,rse,
4,User 2,mvp_data_request,MVP of data request and transfer,after frontend_data_request,8w,,1,rse + dba,
4,User 2,api_projects,API base structure for projects listings,after api_data_catalogue,8w,1,,rse,
4,User 2,backend_projects,Backend structure for storing project info,after api_projects,8w,1,,rse + dba,
4,User 2,frontend_projects_request_form,Frontend UI for submitting data access request,after backend_projects,8w,1,,rse,
4,User 2,mvp_projects,MVP of projects listings,after backend_projects,8w,,1,rse + dba,
2,User 1,backend_cdm,Backend common data model structure,after pre_hire_staff,16w,1,,rse + dba,
2,User 1,api_routine_data_upload,API base structure for uploading routine data,after backend_cdm,10w,1,,rse + dba,
2,User 1,api_new_data_upload,API base structure for uploading new data,after backend_cdm,8w,1,,rse + dba,
2,User 1,api_trigger_data_cleaning,API trigger for cleaning and processing software,after api_routine_data_upload,10w,1,,rse + dba,
2,User 1,api_trigger_update_changelog,API trigger to updating the changelog and data version,after api_new_data_upload api_routine_data_upload api_trigger_data_cleaning,8w,1,,rse,
2,User 1,backend_changelog,Backend structure for storing the changelog info,after api_trigger_update_changelog,4w,1,,rse,
2,User 1,backend_database,Backend formal structure for storing the final database,after api_trigger_data_cleaning,16w,1,,dba,
2,User 1,backend_dvc,Backend version control structure for data,after backend_changelog backend_database,16w,1,,dba,
2,User 1,frontend_data_upload,Frontend UI for uploading routine or new data,after backend_database,12w,1,,rse,
2,User 1,mvp_data_upload,MVP of data upload,after frontend_data_upload,8w,,1,rse + dba,
5,User 3,api_trigger_format_projects,API trigger for formatting projects into listing,after mvp_data_upload,8w,1,,rse,
5,User 3,api_trigger_format_projects_results,API trigger for formatting project results into listing,after api_trigger_format_projects,8w,1,,rse,
5,User 3,api_trigger_format_changelog,API trigger for formatting changelog into listing,after backend_changelog api_trigger_format_projects,8w,1,,rse,
5,User 3,api_trigger_format_statistics,API trigger for formatting aggregate statistics into listing/images,after backend_database api_trigger_format_projects,8w,1,,rse,
5,User 3,backend_trigger_aggregate_statistics,Backend trigger for generating aggregrate statistics,after api_trigger_format_statistics,10w,1,,rse + dba,
5,User 3,frontend_projects,Frontend UI for list of projects,after api_trigger_format_projects,4w,1,,rse,
5,User 3,frontend_changelog,Frontend UI for listing changelog,after api_trigger_format_changelog,4w,1,,rse,
5,User 3,frontend_statistics,Frontend UI for showing aggregate statistic results and images,after api_trigger_format_statistics,4w,1,,rse,
5,User 3,mvp_projects_list,MVP for listing of projects,after frontend_projects,8w,,1,rse,
5,User 3,mvp_changelog_list,MVP for listing of changelog,after frontend_changelog,8w,,1,rse,
5,User 3,mvp_statistics_list,MVP for listing of aggregate statistics,after frontend_statistics,8w,,1,rse,
5,User 3,u3_continue_dev,Continued development,after mvp_statistics_list,24w,,,rse,
3,User 4,api_researchers_list,API base structure for list of researchers,after pre_hire_staff,8w,1,,rse,
3,User 4,backend_researchers_list,Backend structure for storing researcher info,after api_researchers_list,8w,1,,rse + dba,
3,User 4,api_trigger_authorization_projects,API trigger for approving projects for data transfer,after backend_projects,12w,1,,rse,
3,User 4,api_trigger_authorization_researchers,API trigger for approving authorization for researchers,after backend_researchers_list,12w,1,,rse,
3,User 4,frontend_admin_projects_list,Frontend UI for listing projects for admin,after mvp_projects,8w,1,,rse,
3,User 4,frontend_admin_researchers_list,Frontend UI for listing researchers for admin,after backend_researchers_list,8w,1,,rse,
1,General,pre_hire_staff,Searching for and hiring skilled personnel,2022-01-01,26w,1,,,
1,General,pre_find_hosting_server,Identify appropriate server for deploying non-personal data and files,2022-01-01,26w,1,,,
1,General,update_data_dictionary,Mechanism for adding or updating data dictionary and other docs,after mvp_data_catalogue,8w,,,rse,
1,General,pre_find_software,Map all existing software for re-usable components,2022-01-01,52w,1,,,
7,Training,docs_deploy_framework,Training docs on deploying the framework,after mvp_data_upload,156w,,,rse + dba,"These could be deliverables, but for visual, I will not have them be for now."
7,Training,docs_use_framework,Training docs on using the deployed framework,after mvp_data_upload,156w,,,rse + dba,"These could be deliverables, but for visual, I will not have them be for now."
7,Training,docs_customize_framework,Documentation on customizing the framework,after mvp_data_upload,156w,,,rse + dba,"These could be deliverables, but for visual, I will not have them be for now."
7,Training,docs_contributing,Documentation on maintaining and contributing to the framework,after pre_hire_staff,156w,,,rse + dba,"These could be deliverables, but for visual, I will not have them be for now."
7,Training,docs_usage,Usage docs for each individual component,after pre_hire_staff,156w,,,rse + dba,"These could be deliverables, but for visual, I will not have them be for now."
6,Apply to DD2,dd2_survey_all_files,Determine location of all DD2 data and plan to link them,after mvp_data_upload,24w,1,,,
6,Apply to DD2,dd2_survey_data_inputs,Determine how and where all data are input from,after mvp_data_upload,24w,1,,,
6,Apply to DD2,dd2_restructure_to_cdm,Move existing DD2 data and restructure to the CDM,after dd2_survey_data_inputs,24w,,,rse + dba,
6,Apply to DD2,dd2_processing_software,Build DD2 data processing and linking software,after dd2_restructure_to_cdm,24w,1,,rse + dba,
6,Apply to DD2,dd2_implement_framework,Fully implemented in DD2,after dd2_processing_software,4w,,1,,
,,,Replicating in ADDITION cohort,after dd2_implement_framework,24w,,,,
